Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
theodore-creme-satin-mini-tote-bag,Theodore Creme Satin Mini Tote Bag,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Bags,Mini",TRUE,Color,Not set,,,,,,,,100,deny,manual,210.00,210.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/1QWxfcaWl9IyDli0Q2OxY1/46bbd27847e183141bde602ee2468652/miista-theodore-bag-creme-4.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,210.00,210.00,210.00,active
theodore-brick-satin-mini-tote-bag,Theodore Brick Satin Mini Tote Bag,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Bags,Mini",TRUE,Color,Red,,,,,,,,100,deny,manual,210.00,210.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5VVhGbrPh53EUFpG9HdKyE/35ffc0ecf3311e996909923f9ebd10cc/miista-theodore-brick-bags-4.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,210.00,210.00,210.00,active
theodore-violetto-satin-mini-tote-bag,Theodore Violetto Satin Mini Tote Bag,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Bags,Mini",TRUE,Color,Purple,,,,,,,,100,deny,manual,210.00,210.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/pN0pc2n4KLFoMhsnjJ8mz/f38f04572687047a3d2b560ef286a4c2/miista-theodore-violetto-bags-4.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,210.00,210.00,210.00,active
theodore-pool-blue-satin-mini-tote-bag,Theodore Pool Blue Satin Mini Tote Bag,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Bags,Mini",TRUE,Color,Blue,,,,,,,,100,deny,manual,210.00,210.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/6HbDHTYapUvWsWaQTxBv1Y/49722f42610b44337a5764ebc97e750d/miista-theodore-pool-blue-bags-4.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,210.00,210.00,210.00,active
theodore-goldenrod-satin-mini-tote-bag,Theodore Goldenrod Satin Mini Tote Bag,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"Bags,Mini",TRUE,Color,Gold,,,,,,,,100,deny,manual,210.00,210.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5ZySTLf5ABaGPAgeTtsksD/de5a653771e55d224bf515df89b0a167/miista-theodore-golden-rod-bags-4.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,210.00,210.00,210.00,active
rita-blue-vinyl-mid-heels,Rita Blue Vinyl Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"E8 Sandals ,E8 Mid-Heels,E8 New Arrivals",TRUE,Color,Blue,,,,,,,,100,deny,manual,120.00,120.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/3JlFNHuvy4HhCtf8tlOqbs/8b6c904232c14f82bc93eb52b2101ead/e8-rita-blue-vinyl-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,120.00,120.00,120.00,active
deja-rhapsody-nappa-leather-mid-heels,Deja Rhapsody Nappa Leather Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"E8 Mid-Heels,E8 Sandals,E8 New Arrivals",TRUE,Color,Purple,,,,,,,,100,deny,manual,130.00,130.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/5Oly2Hwpp89fb61Bz8DlNl/184de13d07b983d6d804338d178671ac/e8-deja-rhapsody-sandals-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,130.00,130.00,130.00,active
deja-limelight-nappa-leather-mid-heels,Deja Limelight Nappa Leather Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"E8 Sandals,E8 Mid-Heels,E8 New Arrivals",TRUE,Color,Yellow,,,,,,,,100,deny,manual,130.00,130.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/7zGUpfiuPqXwwzsJ4HCPJy/b8a1c9b1685e79230e457ce090aa322d/e8-deja-yellow-iris-sandals-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,130.00,130.00,130.00,active
rita-dark-walnut-vinyl-mid-heels,Rita Dark Walnut Vinyl Mid-Heels,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"E8 Sandals,E8 Mid-Heels,E8 New Arrivals",TRUE,Color,Brown,,,,,,,,100,deny,manual,120.00,120.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/27wDYvFmwkFS1fr3DC0gu0/517a789c594f14e8bb0a2182121e90cd/e8-rita-dark-walnut-vinyl-mules-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,120.00,120.00,120.00,active
manaia-black-nappa-leather-sandals,Manaia Black Nappa Leather Sandals,,Shoes factory,Apparel & Accessories > Clothing,Shoes,"E8 Sandals,E8 Mid-Heels,E8 New Arrivals",TRUE,Color,Black,,,,,,,,100,deny,manual,140.00,140.00,TRUE,TRUE,,https://images.ctfassets.net/bjhrajhd7nqm/1mZqiduJ15dYLsqWrqXRz0/d5bbf838ad814229163bbc5325b2f816/e8-manaia-black-sandals-6.jpg,1,,FALSE,,,,,,,,,,,,,,,,,g,,140.00,140.00,140.00,active
